identifier,edition,rank
COMBEYS-bc640d-0225,526,1263
COMBEYS-bc640d-04e5,1240,1262
COMBEYS-bc640d-30,22,1261
COMBEYS-bc640d-051b,1295,1260
COMBEYS-bc640d-8b,110,1259
COMBEYS-bc640d-0178,348,1258
COMBEYS-bc640d-0179,350,1257
COMBEYS-bc640d-03ec,988,1256
COMBEYS-bc640d-03a4,915,1255
COMBEYS-bc640d-e6,202,1254
COMBEYS-bc640d-01bb,418,1253
COMBEYS-bc640d-0410,1025,1252
COMBEYS-bc640d-45,44,1251
COMBEYS-bc640d-0460,1106,1250
COMBEYS-bc640d-060e,1540,1249
COMBEYS-bc640d-0568,1372,1248
COMBEYS-bc640d-01d0,440,1247
COMBEYS-bc640d-05d2,1479,1246
COMBEYS-bc640d-57,65,1245
COMBEYS-bc640d-047f,1137,1244
COMBEYS-bc640d-02b3,672,1243
COMBEYS-bc640d-7d,59,1242
COMBEYS-bc640d-0187,364,1241
COMBEYS-bc640d-4e,54,1240
COMBEYS-bc640d-028f,636,1239
COMBEYS-bc640d-db,190,1238
COMBEYS-bc640d-0166,330,1237
COMBEYS-bc640d-025c,583,1236
COMBEYS-bc640d-a7,138,1235
COMBEYS-bc640d-0441,1075,1234
COMBEYS-bc640d-038e,893,1233
COMBEYS-bc640d-0588,1405,1232
COMBEYS-bc640d-52,58,1231
COMBEYS-bc640d-03bf,943,1230
COMBEYS-bc640d-021b,516,1229
COMBEYS-bc640d-0601,1527,1228
COMBEYS-bc640d-0167,331,1227
COMBEYS-bc640d-0152,310,1226
COMBEYS-bc640d-0379,872,1225
COMBEYS-bc640d-01cc,436,1224
COMBEYS-bc640d-03a5,916,1223
COMBEYS-bc640d-039b,906,1222
COMBEYS-bc640d-0108,236,1221
COMBEYS-bc640d-060a,1536,1220
COMBEYS-bc640d-01a4,394,1219
COMBEYS-bc640d-0397,902,1218
COMBEYS-bc640d-01bd,420,1217
COMBEYS-bc640d-0583,1400,1216
COMBEYS-bc640d-0296,643,1215
COMBEYS-bc640d-23,9,1214
COMBEYS-bc640d-0462,1108,1213
COMBEYS-bc640d-0470,1122,1212
COMBEYS-bc640d-04be,1200,1211
COMBEYS-bc640d-048f,1153,1210
COMBEYS-bc640d-01da,450,1209
COMBEYS-bc640d-62,78,1208
COMBEYS-bc640d-0444,1078,1207
COMBEYS-bc640d-026b,599,1206
COMBEYS-bc640d-034e,829,1205
COMBEYS-bc640d-01c3,427,1204
COMBEYS-bc640d-0147,299,1203
COMBEYS-bc640d-0478,1130,1202
COMBEYS-bc640d-5a,68,1201
COMBEYS-bc640d-018f,372,1200
COMBEYS-bc640d-99,124,1199
