Holder,HRI,Combeys
 erd1kxymyqtklf3nz3kea72zjm4w4aqjuu7rdhyzyuh7utksxe4t8vmq9nqcp6,34.99153645833333,4
 erd1l50t8nzr4mec8qne7cv8hwh3z30tvhr2j3uvjv0g7gg9vjsm9zxsy0y87p,18.0,1
 erd1la0ea7tf3xakafrwydnrtp50wwtssuyxsqa68uq8ddmdm3p7wagsmhqus7,590.5,1
 erd1le40ausgymvfadl9ec8z9vnrcxtwzrh6g5mu50mpt6z60nfsmd6q8cx4vq,742.0,1
 erd1lgg0s7w69jzvn3ga4wx8ysfjaqlc8w3zggg7cxwg70z09246ke8s327m96,357.5,1
 erd1lhue6uhkxerdzlyfwwhyfd5kwgxr56xhgyz5fz2rmsum9pd8386q7770nt,378.5,1
 erd1lkdwuhctxg3xnmp2wps5sm3e5024jpg8n0umak4zhu3fu2kzv9as9nsj0w,44.1875,2
 erd1ln42z8cqh9xf3sqgcqlw8srqxrkhum3df47u96wj6gapdmgtezwqlquzxm,577.5,1
 erd1lt6jezu7v6g758j3nyk8urmk32c2ykhytf6y7dcuqw2hyyu5j2qsnuk4n7,7.394096634657833,10
 erd1ly2ztms3f0dr90z32cwzzhxgdfzjg9k5g3m3yzt4mvmt6aegxrdsa7rru3,197.875,2
 erd1m5p6lqtelhld47vwpxdhnu0c4hdcke73yegsullwmtn75ge5kpxq2d52mu,185.0625,2
 erd1m6775e88freapezfqth4jru8fk2t83wger9ephd8tj4dxntg5pgqryd8va,690.5,1
 erd1mdp73tp9aq00z42806sxdyuh0z5mlfm5sgng6lw220q7kmm0c3fqt3ypvl,0.3196510381191652,43
 erd1me95nt95g5064ps07j9nfsy6nm2dpmwsvywnpw7yysqlwmgfja8q4u7r65,22.0,1
 erd1mg3u5fm0d4rquxpr7hxt096507ze4j4xpngfuweynewc9cphgy8q4y972q,0.007696128676651858,47
 erd1mmsfpnyfngtmahdfwh7nhxzfda358fsds80wazmvku5mwx8zg99spxd6t2,765.5,1
 erd1mnz854g0wkmh2fly742lk9vdjvncxmx2fpjgqjqqh3fvnfwh3ptsfu0444,750.0,1
 erd1mqcf3yw8ugr9mstsww70uu33sx07kd797ggfclg6qu3gwx4vdh5q2lnart,1027.5,1
 erd1msmklfcextu2h7se8kqc03h0349z6gvllwkv350vj433urfcyd2smggt34,281.5,1
