identifier,edition,rank,owner
COMBEYS-bc640d-05cd,1474,18.0,erd1lt6jezu7v6g758j3nyk8urmk32c2ykhytf6y7dcuqw2hyyu5j2qsnuk4n7
COMBEYS-bc640d-05cc,1473,1431.0,erd1jpguqnnx4wagff3yk37535q7j05k67837jzp52sz4nvwr4ra5a6sh6qk39
COMBEYS-bc640d-05cb,1472,1138.0,erd1dmmalh3nycjt4v63jedn6530d8xwdh62flgq379v2ay45zm2sw6sa4u3kp
COMBEYS-bc640d-05ca,1471,483.0,erd14jm6swhn9lu4m9634hkvgdhtq4vyaf0dutk9w47ma06vk3yh7t2s9c4ng5
COMBEYS-bc640d-05c9,1470,749.0,erd1x3nqzfwu88hljtw4px6c6txykmcddpg86e4cwaqjxel6zwn52gcq29ffht
COMBEYS-bc640d-05c8,1469,1399.0,erd1w8j0meqp0dxuk67me72hrhdtarx9u3kmwxtjvncp89s720wqvl8sj7lfmd
COMBEYS-bc640d-05c7,1468,830.0,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8
COMBEYS-bc640d-05c6,1467,1366.0,erd19c2zu5jgfpxlxjzmr9mwsk7v80as44e3q8ywyvu3nhlhm935jpgs7eeffy
COMBEYS-bc640d-05c5,1466,1400.0,erd1le40ausgymvfadl9ec8z9vnrcxtwzrh6g5mu50mpt6z60nfsmd6q8cx4vq
COMBEYS-bc640d-05c4,1465,919.0,erd1gtzm2pfszxh572a7mmphdrhdag84saasvv27etmlqpagxutg60ps0yezqx
COMBEYS-bc640d-05c3,1464,1375.0,erd1fefvg0jeqpn5xdm4ersdxh9fqc7vzgjytda38tqyu5krs3uv3l3q74lswx
COMBEYS-bc640d-05c2,1463,1501.0,erd1x64qucsyarq3wgu60aw8ckj7ad6dw60me0du7a239p9yerh9w2xst3vfs5
COMBEYS-bc640d-05c1,1462,96.0,erd1f4dw0ws0rv8kdwhm5s62ywchldr6l0l2gq36s7k7ky4cc0ya0saqnkpwtn
COMBEYS-bc640d-05c0,1461,94.0,erd1f4dw0ws0rv8kdwhm5s62ywchldr6l0l2gq36s7k7ky4cc0ya0saqnkpwtn
COMBEYS-bc640d-05bf,1460,1443.0,erd10d6wejvyxgretmxgjqa225xez475t4na79c7dxyesyq23dhvxqdsrcusdg
COMBEYS-bc640d-05be,1459,1011.0,erd1vm0g9f78l7ag6xrxql0nnq8jupnjhsjugxsxgk327h6la37gxp0q9kxpy6
COMBEYS-bc640d-05bd,1458,690.0,erd1k4umqhapvve4d30nv3p7u4dxcyjmzdnly4thkvx7xn82mzufcjqq76vlqm
COMBEYS-bc640d-05bc,1457,453.0,erd17cdajuzxcdr4fl4vjrhmduwk5yy2nvxfxdhjvluafnckz8v65y5qdrvgar
COMBEYS-bc640d-05bb,1456,859.0,erd1qqqqqqqqqqqqqpgq705fxpfrjne0tl3ece0rrspykq88mynn4kxs2cg43s
COMBEYS-bc640d-05ba,1455,519.0,erd1mdp73tp9aq00z42806sxdyuh0z5mlfm5sgng6lw220q7kmm0c3fqt3ypvl
COMBEYS-bc640d-05b9,1454,5.0,erd1gtzm2pfszxh572a7mmphdrhdag84saasvv27etmlqpagxutg60ps0yezqx
COMBEYS-bc640d-05b8,1453,767.0,erd1aa8wrrerc7dl6v7jpc4jhuamp5swya2hxl86ly8x83llasc9cezq2mvq3w
COMBEYS-bc640d-05b7,1452,66.0,erd1z8p5a6dut30rkdcl266expeyk6295w9835grs3pke8dts5ngrmmqp6yz80
COMBEYS-bc640d-05b6,1451,1428.0,erd1qqqqqqqqqqqqqpgqd9rvv2n378e27jcts8vfwynpx0gfl5ufz6hqhfy0u0
COMBEYS-bc640d-05b5,1450,1007.0,erd1gtzm2pfszxh572a7mmphdrhdag84saasvv27etmlqpagxutg60ps0yezqx
COMBEYS-bc640d-05b4,1449,1292.0,erd1qwxacqlytzrq9y86ancflg82wgcqdtvnqqflfad40v4mkjhz4s2qx7lnjn
