identifier,rank,edition
COMBEYS-bc640d-4f,1290,55
COMBEYS-bc640d-035a,1289,841
COMBEYS-bc640d-0276,1288,611
COMBEYS-bc640d-046c,1287,1118
COMBEYS-bc640d-042f,1286,1057
COMBEYS-bc640d-010d,1285,241
COMBEYS-bc640d-03b5,1284,932
COMBEYS-bc640d-0130,1283,276
COMBEYS-bc640d-41,1282,40
COMBEYS-bc640d-04af,1281,1185
COMBEYS-bc640d-039d,1280,908
COMBEYS-bc640d-02f1,1279,734
COMBEYS-bc640d-0132,1278,278
COMBEYS-bc640d-32,1277,24
COMBEYS-bc640d-65,1276,81
COMBEYS-bc640d-0162,1275,325
COMBEYS-bc640d-0381,1274,880
COMBEYS-bc640d-056a,1273,1374
COMBEYS-bc640d-03ac,1272,923
COMBEYS-bc640d-0399,1271,904
COMBEYS-bc640d-03b1,1270,928
COMBEYS-bc640d-ca,1269,173
COMBEYS-bc640d-4c,1268,52
COMBEYS-bc640d-84,1267,103
COMBEYS-bc640d-036f,1266,862
COMBEYS-bc640d-015c,1265,319
COMBEYS-bc640d-0363,1264,850
COMBEYS-bc640d-0225,1263,526
COMBEYS-bc640d-04e5,1262,1240
COMBEYS-bc640d-30,1261,22
COMBEYS-bc640d-051b,1260,1295
COMBEYS-bc640d-8b,1259,110
COMBEYS-bc640d-0178,1258,348
COMBEYS-bc640d-0179,1257,350
COMBEYS-bc640d-03ec,1256,988
COMBEYS-bc640d-03a4,1255,915
COMBEYS-bc640d-e6,1254,202
COMBEYS-bc640d-01bb,1253,418
COMBEYS-bc640d-0410,1252,1025
COMBEYS-bc640d-45,1251,44
COMBEYS-bc640d-0460,1250,1106
COMBEYS-bc640d-060e,1249,1540
COMBEYS-bc640d-0568,1248,1372
COMBEYS-bc640d-01d0,1247,440
COMBEYS-bc640d-05d2,1246,1479
COMBEYS-bc640d-57,1245,65
COMBEYS-bc640d-047f,1244,1137
COMBEYS-bc640d-02b3,1243,672
COMBEYS-bc640d-7d,1242,59
COMBEYS-bc640d-0187,1241,364
COMBEYS-bc640d-4e,1240,54
COMBEYS-bc640d-028f,1239,636
COMBEYS-bc640d-db,1238,190
COMBEYS-bc640d-0166,1237,330
COMBEYS-bc640d-025c,1236,583
COMBEYS-bc640d-a7,1235,138
COMBEYS-bc640d-0441,1234,1075
COMBEYS-bc640d-038e,1233,893
COMBEYS-bc640d-0588,1232,1405
COMBEYS-bc640d-52,1231,58
COMBEYS-bc640d-03bf,1230,943
COMBEYS-bc640d-021b,1229,516
COMBEYS-bc640d-0601,1228,1527
COMBEYS-bc640d-0167,1227,331
COMBEYS-bc640d-0152,1226,310
COMBEYS-bc640d-0379,1225,872
COMBEYS-bc640d-01cc,1224,436
COMBEYS-bc640d-03a5,1223,916
COMBEYS-bc640d-039b,1222,906
COMBEYS-bc640d-0108,1221,236
COMBEYS-bc640d-060a,1220,1536
COMBEYS-bc640d-01a4,1219,394
COMBEYS-bc640d-0397,1218,902
COMBEYS-bc640d-01bd,1217,420
COMBEYS-bc640d-0583,1216,1400
COMBEYS-bc640d-0296,1215,643
COMBEYS-bc640d-23,1214,9
COMBEYS-bc640d-0462,1213,1108
COMBEYS-bc640d-0470,1212,1122
COMBEYS-bc640d-04be,1211,1200
COMBEYS-bc640d-048f,1210,1153
COMBEYS-bc640d-01da,1209,450
COMBEYS-bc640d-62,1208,78
COMBEYS-bc640d-0444,1207,1078
COMBEYS-bc640d-026b,1206,599
COMBEYS-bc640d-034e,1205,829
COMBEYS-bc640d-01c3,1204,427
COMBEYS-bc640d-0147,1203,299
COMBEYS-bc640d-0478,1202,1130
COMBEYS-bc640d-5a,1201,68
COMBEYS-bc640d-018f,1200,372
COMBEYS-bc640d-99,1199,124
COMBEYS-bc640d-05ed,1198,1507
COMBEYS-bc640d-03a2,1197,913
COMBEYS-bc640d-016f,1196,339
COMBEYS-bc640d-04d5,1195,1224
COMBEYS-bc640d-0529,1194,1309
